,topics,reflection
0,[7],tires where delivered to the garage of my choice the garage notified me when they had been delivered  a day and time was arranged with the garage and i went and had them fitted a hassel free experience 
1,"[2, 3]",easy tyre selection process  competitive pricing and excellent fitting service
2,[0],very easy to use and good value for money 
3,"[0, 7]",really easy and convenient to arrange
4,[2],it was so easy to select tyre sizes and arrange local fitting  the prices were competitive
5,"[1, 9]",service was excellent  only slight downside was not knowing exact time at garage although the garage were so quick so i wasn't delayed
6,"[1, 2, 3]",user friendly website  competitive prices  good communications  efficient service by ats euromaster 
7,[3],excellent prices and service
8,[11],it was very straightforward and the garage was great  hadn't even known about them before
9,[10],use of local garage 
10,"[2, 10]",easy to use  also good price 
11,"[0, 8]",outstanding values for money and a friendly professional service
12,[2],great price and easy to use
13,[10],good price and easy to use a garage i was familiar with 
14,"[7, 9]",booked slot then you couldn't provide it and had to re-arrange  makes a bit of a mockery of an online booking system   
15,[3],good price and some good fitting centres
16,[2],competitively priced and easy to use fitting centre near me who were very professional 
17,"[3, 11]",very easy to use  i was kept up to date every step of the way  good product at good price  thank you 
18,[2],a really easy website to navigate  competitive prices and a great selection of garages to choose from for fitting 
19,[9],a very good experience and a set time booking
20,[10],no hassle  no fuss and a good price
21,[3],good price  good fitting service at ats cleckheaton 
22,"[0, 11]",quick and simple website from which to choose the tyres i wanted  good value  good quality tyres  whole process from choice to fitting was easy 
23,[3],great choice  quick service and excellent garage for fitting
24,"[4, 8]",the staff at the garage have no manners and swear openly in front of customers 
25,[11],best prices and fitted by local company 
26,[9],had to wait in garage for more than an hour to get fitted  booked a time slot to avoid any wait
27,[10],very easy to use and good prices 
28,"[5, 11]",had the tyres i wanted at the price i liked  and the fitting garage were as good as always 
29,"[1, 7]",quick ordering  great service from the garage
30,"[2, 7]",simple to order  easy to book your appointment  tyres turned up on time  fitters did a great job 
31,"[2, 3]",easy to use site  good choice of tyres at a good price  choice of tyre fitters near my home plentiful 
32,[2],it was easy to find the tyres i needed and close to home for fitting
