,Topic_Num,Topic_Perc_Contrib,Keywords,Representative Text
0,0.0,0.7561,"great, service, quick, ramp, attitude, harassment, harass, body, sportmax, inexpensive","['great', 'service', 'quick']"
1,1.0,0.8049,"thank, try, keep, product, certainly, locally, pleased, various, valve, retailer","['beware', 'subcontractor', 'shower', 'chyte']"
2,2.0,0.6748,"process, quality, know, tyre, brand, whole, even, send, buying, arrival","['whole', 'process']"
3,3.0,0.6049,"garage, local, fitter, price, provide, performance, compare, speed, park, separate","['price', 'stanfield', 'garage', 'great']"
4,4.0,0.5122,"need, select, fitting, phone, save, fault, thing, size, location, pay",['save']
5,5.0,0.8606,"good, price, service, fitting, week, ats, first_class, road, recommendation, minimum","['good', 'price', 'good', 'fitting', 'service', 'ats']"
6,6.0,0.8049,"time, tyre, take, deliver, fitting, car, much, minute, rear, like","['tyre', 'describe', 'deliver', 'time']"
7,7.0,0.6748,"day, go, garage, fit, next, could, tire, car, reasonable, tyre","['go', 'smoithly']"
8,8.0,0.7561,"choice, tyre, site, seem, many, area, prompt, pleasant, transaction, near","['broad', 'choice', 'tyre']"
9,9.0,0.8298,"redact, use, tyre, buy, garage, never, com, need, go, confirmation","['redact', 'use', 'man', 'garage', 'rude', 'need', 'tyre', 'redact', 'go', 'tyre', 'solihull', 'life', 'lane']"
10,10.0,0.7561,"customer, service, front, delay, poor, stock, care, best, rearrange, fitting","['customer', 'service', 'poor']"
11,11.0,0.5122,"arrive, issue, leave, notice, feel, long, supply, fix, detail, walk",['issue']
12,12.0,0.753,"change, date, return, original, plan, follow, several, reason, finally, anyway","['contacted', 'change', 'date', 'original', 'date', 'change', 'redact']"
13,13.0,0.5122,"able, star, let, budget, replacement, one, fail, rating, agree, premium",['let']
14,14.0,0.7805,"experience, set, pressure, family, partner, bad, far, old, today, installation","['set', 'pressure', 'correctly', 'also', 'reset', 'pressure', 'monitor', 'computer']"
15,15.0,0.8049,"would, recommend, use, redact, definitely, service, highly, receive, cost, number","['service', 'would', 'use', 'redact']"
16,16.0,0.8049,"easy, use, website, price, delivery, fitting, right, garage, standard, particular","['easy', 'procurement', 'delivery', 'fitting']"
17,17.0,0.6748,"get, want, tyre, home, line, hassle, extra, actually, else, less","['slow', 'fitting']"
18,18.0,0.8374,"appointment, tell, come, time, cancel, morning, little, early, side, busy","['miss', 'appointment', 'time', 'tell', 'night']"
19,19.0,0.7561,"second, available, look, check, mobile, review, couple, fine, perfect, twice","['test', 'review', 'delete']"
20,20.0,0.5881,"first, however, expect, overall, put, sure, polite, case, dealer, wear","['expect', 'however', 'fitter', 'ats', 'local', 'garage', 'service', 'put', 'finger', 'mark', 'inner', 'roof', 'lining', 'sure']"
21,21.0,0.6748,"company, fantastic, use, future, discount, please, shop, ever, continue, direct","['company', 'use']"
22,22.0,0.7444,"book, could, make, time, online, slot, booking, bit, system, confirm","['book', 'slot', 'could', 'provide', 'arrange', 'make', 'bit', 'mockery', 'online', 'booking', 'system']"
23,23.0,0.7561,"friendly, professional, lot, service, mail, advice, initially, class, explanation, support","['friendly', 'professional', 'service']"
24,24.0,0.5122,"give, place, option, suit, redacted, quickly, clear, better, convenience, professionally",['convenience']
25,25.0,0.6748,"offer, start, finish, friend, already, think, inform, promise, promptly, business","['start', 'finish']"
26,26.0,0.616,"car, job, brilliant, later, replace, deal, garage, ready, drive, min","['drop', 'car', 'time', 'state', 'order', 'min', 'later', 'ready', 'drive', 'simple', 'great', 'job']"
27,27.0,0.5122,"efficient, staff, also, help, organise, ill, low, main, slightly, client",['efficient']
28,28.0,0.6049,"fit, tyre, price, range, cover, fuss, station, user, outlet, understand","['price', 'tyre', 'fit', 'convenience']"
29,29.0,0.878,"order, tyre, choose, fit, easy, garage, way, go, time, pick","['easy', 'order', 'tyre', 'choose', 'fit', 'go', 'smoothly']"
30,30.0,0.8606,"excellent, service, fast, price, fitting, include, motor, trust, cost_effective, love","['excellent', 'service', 'excellent', 'price', 'service', 'pyper']"
31,31.0,0.5807,"always, call, back, exactly, damage, agent, torque, sell, yet, seat","['ture', 'fitter', 'recommend', 'damage', 'alloy_wheel', 'deny', 'responsibility', 'cost', 'repair', 'damage', 'cost_effective']"
32,32.0,0.741,"well, competitive, price, communication, centre, absolutely, mile, fitting, extremely, complaint","['mile', 'well', 'price', 'selection', 'fitting', 'centre', 'versatile']"
33,33.0,0.8049,"cheap, really, arrange, convenient, easy, recently, collect, immediate, respectful, installer","['really', 'easy', 'convenient', 'arrange']"
34,34.0,0.6748,"say, problem, email, different, end, show, high, decide, longer, resolve","['title', 'say']"
35,35.0,0.7561,"value, money, good, tracking, fair, special, exceptional, amazing, changed, click","['good', 'value', 'money']"
36,36.0,0.6047,"wait, hour, garage, ask, appoint, appear, navigate, believe, normal, reply","['bloody', 'marvelous', 'wife', 'chuff']"
37,37.0,0.6748,"new, purchase, tyre, people, ease, wide, valve_stem, courteous, break, read","['purchase', 'serive']"
38,38.0,0.5122,"work, helpful, happy, selection, complete, pricing, full, carry, fitting, double",['helpful']
39,39.0,0.5122,"find, simple, turn, correct, response, vehicle, unfortunately, specific, match, bridgestone",['simple']
40,40.0,0.535,"year, wheel, still, reliable, refund, sort, wrong, top, see, contact","['tyre', 'ok', 'balance', 'wheel', 'set', 'wrong', 'garage', 'go', 'abroad', 'stop', 'set', 'balance', 'possible', 'drive']"
